Product Name,Details,Product Category,Reference,Related Products
Made of Bamboo,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Bamboo&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
2 Layers,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]2 Layers&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Comes in Gift Box,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Comes in Gift Box&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Non-Stick Wok with Wood Handle 14",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Non-Stick Wok with Wood Handle 14"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10019</div>,Asian,WPAN-10019,
Non-Stick Coating,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Non-Stick Coating&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Made of Carbon Steel,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Carbon Steel&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Wood Handle,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Wood Handle&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
1.5mm Thickness,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]1.5mm Thickness&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Round Wok with Side Handles 14" ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Round Wok with Side Handles 14" &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10021</div>,Asian,WPAN-10021,
Non-Coated,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Non-Coated&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
