Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
8 Piece Espresso Set with Green Stripe|Coffee|||A120-22204|Includes:<br>4 Espresso Cups<br>4 Plates<br>Green Stripe Design |||Other Coffee Item |product36
Milk Frother|Coffee|||B120-22050|Hand-Held Frother<br>Powered by Batteries<br>Black & Silver|||Other Coffee Item |product37
Stainless Steel Coffeemaker  6 Cup / 4 Cup|Coffee|||B120-22062K<br>B120-22061K|Stove Top Coffeemaker<br>Available in 2 Sizes:  6 Cup / 4 Cup<br>Stainless Steel with Black Handle |||Other Coffee Item |product38
9 Piece Stainless Steel 6 Cup Espresso Gift Set|Coffee|||B120-22069SET|Includes:<br>Stove Top Coffeemaker<br>4 (3oz) Espresso Cups<br>4 Plates<br>Stainless Steel |||Other Coffee Item |product39
Aluminum Coffee maker  1 Cup / 3 Cup / 6 Cup / 9 Cup|Coffee|||B120-41V<br>B120-42M<br>B120-43M<br>B120-44V|Stove Stop Coffeemaker <br>Available in 3 Sizes:  1 Cup / 3 Cup / 6 Cup / 9 Cup<br>Made of Aluminum |||Other Coffee Item |product40
Aluminum Coffeemaker in Red  3 Cup / 6 Cup|Coffee|||B120-42T<br>B120-43T|Stove Top Coffeemaker<br>Available in 2 Sizes:  3 Cup / 6 Cup<br>Made Of Aluminum<br>Red |||Other Coffee Item |product41
6 Cup Aluminum Coffeemaker in Orange|Coffee|||B120-43O|Stove Top Coffeemaker<br>Prepares up to 6 Cups<br>Made of Aluminum<br>Orange|||Other Coffee Item |product42
Stainless Steel Creamer without Cover|Coffee|||L300-4712C|Stainless Steel |||Other Coffee Item |product43
10oz Stainless Steel Creamer with Cover|Coffee|||PHI-C5045|10oz Capacity<br>Stainless Steel|||Other Coffee Item |product44
Carbon Steel Round Comal with Bakelite Handle 11"|Griddles & Saute Pan |||CAR-50213|11" Cooking Surface<br>Non-Stick Coating<br>Made of Carbon Steel<br>Bakelite Handles <br>Black|||Other Comals |product45
Carbon Steel Oval Comal with Bakelite Handle 17" |Griddles & Saute Pan |||CAR-52016K|17" Cooking Surface<br>Non-Stick Coating<br>Made of Carbon Steel<br>Bakelite Handles <br>Black|||Other Comals |product46
Carbon Steel Large Round Comal with Bakelite Handle 14"|Griddles & Saute Pan |||CAR-52021T|14" Cooking Surface<br>Non-Stick Coating<br>Made of Carbon Steel<br>Bakelite Handles <br>Black|||Other Comals |product47
